"","max_distance","id","mean","sd","error","ci_width","below_95","above_95","convergence","plot"
"1",893.379095073056,1,893.379095073056,NA,NA,NA,NA,NA,NA,"B"
"2",914.409344095513,2,903.894219584284,14.8706316938214,20.6092653349626,41.2185306699251,883.284954249322,924.503484919247,FALSE,"B"
"3",639.484972842026,3,815.757804003532,153.018466525306,173.153513770248,346.307027540497,642.604290233283,988.91131777378,FALSE,"B"
"4",799.926021038783,4,811.799858262345,125.189571196904,122.683525392973,245.367050785946,689.116332869372,934.483383655317,FALSE,"B"
"5",863.520168236926,5,822.143920257261,110.857203848564,97.1688379585589,194.337675917118,724.975082298702,919.31275821582,FALSE,"B"
"6",631.995194276599,6,790.452465927151,125.92674609249,100.760530946811,201.521061893621,689.69193498034,891.212996873961,FALSE,"B"
"7",698.948532944801,7,777.380475501101,120.044823658054,88.928815764462,177.857631528924,688.451659736639,866.309291265563,FALSE,"B"
"8",812.197768728156,8,781.732637154483,111.819543105181,77.4855662132522,154.971132426504,704.24707094123,859.218203367735,FALSE,"B"
"9",1015.68605512291,9,807.727461373196,130.469294924808,85.2383730469861,170.476746093972,722.48908832621,892.965834420183,FALSE,"B"
"10",736.473331272642,10,800.602048363141,125.054357645946,77.508069636995,155.01613927399,723.093978726146,878.110118000136,FALSE,"B"
"11",923.938893319981,11,811.814488813763,124.328758374972,73.4722508756909,146.944501751382,738.342237938072,885.286739689454,FALSE,"B"
"12",845.632553202046,12,814.63266084612,118.944126663949,67.2977384425368,134.595476885074,747.334922403583,881.930399288657,FALSE,"B"
"13",723.946056984695,13,807.656768241395,116.62482513636,63.3968121674076,126.793624334815,744.259956073987,871.053580408802,FALSE,"B"
"14",471.732678312897,14,783.662190389359,143.580809603503,75.2108455169388,150.421691033878,708.45134487242,858.873035906298,FALSE,"B"
"15",705.348970347397,15,778.441309053228,139.827682709729,70.7612704870343,141.522540974069,707.680038566194,849.202579540263,FALSE,"B"
"16",912.641724045077,16,786.828834990219,139.190295123882,68.2019913600776,136.403982720155,718.626843630141,855.030826350296,FALSE,"B"
"17",725.971431945876,17,783.248987752316,135.576278610329,64.4476875836539,128.895375167308,718.801300168662,847.69667533597,FALSE,"B"
"18",808.644604467829,18,784.659855347623,131.664445297815,60.8247527563737,121.649505512747,723.835102591249,845.484608103996,FALSE,"B"
"19",674.264734948469,19,778.84958585293,130.437213898405,58.6506465958485,117.301293191697,720.198939257082,837.500232448779,FALSE,"B"
"20",710.177892036456,20,775.416001162107,127.883502353026,56.0463861901528,112.092772380306,719.369614971954,831.462387352259,FALSE,"B"
"21",748.158031491085,21,774.118002606344,124.787264857591,53.3714140541864,106.742828108373,720.746588552157,827.48941666053,FALSE,"B"
"22",974.977949519827,22,783.24800019332,129.089872137172,53.9422330798373,107.884466159675,729.305767113483,837.190233273157,FALSE,"B"
"23",985.851839251679,23,792.056862761075,133.009176560293,54.35828894411,108.71657788822,737.698573816965,846.415151705185,FALSE,"B"
"24",737.095644698287,24,789.766812008459,130.568418612385,52.2372871232872,104.474574246574,737.529524885172,842.004099131746,FALSE,"B"
